num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
189,0.75,0.589718,341740,189,378
190,0.125,0.139533,62959,190,380
190,0.25,0.194108,119827,190,380
190,0.5,0.489555,232797,190,380
190,0.75,0.567315,344529,190,380
191,0.125,0.113802,68241,191,382
191,0.25,0.217134,117542,191,382
191,0.5,0.376988,237348,191,382
191,0.75,0.612479,352313,191,382
192,0.125,0.112273,63870,192,384
192,0.25,0.203441,123398,192,384
192,0.5,0.40561,240034,192,384
192,0.75,0.560168,355301,192,384
193,0.125,0.123567,63847,193,386
193,0.25,0.238517,122299,193,386
193,0.5,0.38812,242614,193,386
193,0.75,0.618418,356272,193,386
194,0.125,0.125101,66313,194,388
